rooms,floor,totfloors,lon,lat,m2,price
3,6,10,39.683742,47.250461,90.00,5350000
2,1,9,39.630356,47.229317,54.00,3400000
1,3,5,39.822927,47.237345,15.00,1330000
3,7,9,39.72043,47.299665,65.00,3400000
2,1,6,39.765929,47.231649,53.00,4000000
1,6,14,39.710099,47.273418,44.00,3350000
1,7,10,39.716513,47.279348,33.00,2350000
2,1,3,39.614797,47.228969,70.00,3600000
1,4,5,39.705634,47.243983,23.00,1380000
0,8,9,39.702508,47.297856,31.00,1800000
2,2,22,39.684515,47.237841,62.00,5100000
2,2,10,39.708814,47.258112,52.00,3700000
3,3,14,39.637192,47.204064,60.00,4200000
2,9,9,39.712381,47.290284,53.00,3250000
2,8,10,39.828326,47.244576,66.00,3600000
2,14,15,39.71539,47.280185,75.00,5970000
2,3,5,39.707179,47.232212,45.00,2900000
2,4,7,39.708895,47.224844,49.00,3700000
2,10,12,39.621319,47.215713,60.00,3200000
2,5,17,39.630823,47.221301,72.00,6000000
2,8,16,39.716181,47.272537,54.00,2600000
1,2,5,39.778793,47.235589,20.00,1600000
2,4,5,39.714707,47.279348,48.00,2700000
3,6,9,39.761617,47.282148,64.00,3350000
2,9,20,39.691917,47.225303,75.00,7100000
0,2,9,39.622693,47.231588,22.00,1450000
2,1,5,39.628703,47.209947,50.00,2500000
1,6,26,39.677688,47.197862,37.00,2350000
1,5,16,39.701951,47.242325,45.00,3250000
2,5,5,39.772011,47.244937,44.00,2650000
2,8,9,39.707099,47.241059,53.00,3850000
2,5,9,39.75241,47.298607,54.00,2600000
1,3,9,39.753263,47.284507,18.00,650000
3,5,9,39.71142,47.287833,65.00,3550000
2,5,5,39.630374,47.203856,46.00,2170000
1,9,10,39.744307,47.30085,34.00,2100000
0,4,5,39.741333,47.272543,19.00,1430000
2,2,10,39.709901,47.258192,51.00,4000000
3,2,9,39.632134,47.231734,55.00,3200000
1,9,10,39.749616,47.296505,40.00,2900000
2,8,11,39.757503,47.229421,90.00,7300000
2,9,9,39.62316,47.202025,45.00,2650000
0,4,9,39.618857,47.214415,23.00,1499000
2,10,10,39.619198,47.231753,54.00,3300000
2,2,5,39.700703,47.222519,42.00,3500000
1,18,19,39.595519,47.235167,36.00,2950000
1,3,5,39.680203,47.221937,32.00,1780000
2,2,12,39.624696,47.213877,60.00,3450000
1,6,10,39.683203,47.230535,33.00,2550000
1,2,5,39.683608,47.212542,26.00,1800000
2,5,12,39.765462,47.228504,58.00,3794000
1,21,22,39.701951,47.242325,48.00,4300000
2,11,15,39.677391,47.210571,65.00,6600000
2,2,5,39.790597,47.270489,60.00,3200000
3,3,10,39.755203,47.247751,80.00,6500000
2,6,10,39.746256,47.300062,58.00,3350000
2,4,10,39.658823,47.220107,52.00,3200000
1,6,10,39.800802,47.238483,43.00,3250000
1,9,22,39.704817,47.23417,46.80,4550000
2,12,14,39.764887,47.250051,60.00,5500000
1,2,3,39.722496,47.221191,27.80,1600000
2,3,16,39.726673,47.23294,66.00,4500000
2,5,5,39.756524,47.273815,45.00,2100000
2,3,5,39.637147,47.208967,44.00,2400000
2,12,14,39.747837,47.248718,50.00,4200000
1,4,9,39.718067,47.285051,23.00,1590000
2,4,9,39.708078,47.278749,48.00,3100000
3,9,9,39.763531,47.289055,76.50,5200000
2,4,9,39.736114,47.295295,50.00,2750000
1,9,10,39.76301,47.288621,41.00,2380000
3,2,9,39.71115,47.293975,65.00,3700000
2,18,19,39.711967,47.29433,78.00,3900000
1,4,20,39.708293,47.283254,57.00,8500000
1,8,19,39.595519,47.235167,38.00,2390000
2,14,17,39.604556,47.235901,55.00,3350000
3,6,14,39.717771,47.295051,70.00,4100000
2,8,22,39.671983,47.227782,70.00,4800000
3,7,9,39.628316,47.22575,67.00,3300000
5,17,23,39.731838,47.226802,177.00,26000000
1,5,17,39.595519,47.235167,38.00,2150000
1,2,8,39.695582,47.235363,47.00,4597000
2,3,14,39.70364,47.282869,75.00,6300000
1,8,12,39.621319,47.215713,37.00,2200000
2,5,12,39.757737,47.228589,72.00,5950000
3,7,10,39.655607,47.264478,69.00,3450000
2,3,9,39.686168,47.262069,44.00,2500000
1,4,9,39.801467,47.237773,54.00,4250000
2,10,22,39.704817,47.23417,70.00,4850000
1,10,23,39.702329,47.282038,38.00,2850000
2,2,2,39.722541,47.251293,52.00,3200000
1,3,14,39.715318,47.300263,42.00,2800000
3,7,9,39.720843,47.297947,65.00,3300000
2,7,10,39.630634,47.201627,57.00,4050000
1,10,14,39.78121,47.243255,38.00,2200000
2,10,17,39.598986,47.232811,52.00,2990000
2,4,5,39.811052,47.230211,67.00,3450000
2,9,10,39.632125,47.220787,45.00,2750000
1,13,18,39.599058,47.232824,28.00,1800000
2,3,4,39.773062,47.258626,48.00,2550000
2,8,14,39.69498,47.292459,54.00,2890000
1,8,19,39.695771,47.291109,49.00,3300000
4,7,8,39.707799,47.215346,112.00,8900000
2,1,5,39.68412,47.261525,48.00,2200000
2,9,15,39.677391,47.210571,73.00,8500000
1,16,18,39.667213,47.225505,27.00,2300000
1,7,9,39.619387,47.212555,38.00,2500000
1,6,9,39.705679,47.292404,18.00,1150000
3,5,17,39.686177,47.291591,85.00,5200000
2,4,9,39.626367,47.20104,54.00,3100000
3,2,5,39.752724,47.274769,58.00,2700000
1,3,5,39.683778,47.210675,40.40,2550000
0,2,4,39.712875,47.222451,36.00,2000000
2,3,9,39.707368,47.289911,52.00,2800000
2,2,9,39.704781,47.29664,50.00,3000000
1,7,17,39.590291,47.234794,27.00,2000000
3,8,9,39.707215,47.291274,64.00,3400000
1,14,17,39.66636,47.226319,38.00,2600000
2,5,10,39.688971,47.251366,54.00,3800000
1,3,10,39.628541,47.199907,40.00,2400000
4,5,5,39.704017,47.2319,100.00,5900000
1,1,5,39.807198,47.281744,30.00,1700000
0,4,9,39.624274,47.21346,23.00,1650000
1,7,9,39.737201,47.232934,33.00,3000000
2,4,5,39.714968,47.264148,43.00,2800000
1,20,23,39.701951,47.242325,48.00,3300000
1,12,23,39.702508,47.281249,35.00,2100000
1,2,5,39.638943,47.211955,30.00,2045000
3,8,9,39.714357,47.287661,69.00,3500000
1,4,5,39.74313,47.27288,18.00,1350000
3,7,10,39.710072,47.292123,65.00,3500000
3,3,9,39.704655,47.280601,58.00,2800000
2,2,5,39.739474,47.275649,44.00,2350000
2,3,5,39.694612,47.237553,41.00,2970000
2,10,14,39.747837,47.248718,59.00,4100000
3,10,14,39.706883,47.279226,55.00,3350000
1,12,17,39.627149,47.199527,38.70,2100000
3,8,16,39.633185,47.218749,72.00,6150000
3,2,9,39.695582,47.235363,81.00,5800000
1,7,9,39.832162,47.237529,38.00,2400000
1,2,5,39.643031,47.211881,29.00,2010000
3,12,14,39.729009,47.301748,76.00,3500000
1,13,25,39.600433,47.234004,46.00,2300000
2,4,5,39.706506,47.280075,46.00,2500000
3,2,12,39.769388,47.257262,70.00,4900000
2,5,5,39.667654,47.264533,43.00,2100000
2,3,9,39.708392,47.295564,54.00,3000000
1,5,9,39.745277,47.286873,35.00,2000000
3,10,13,39.659227,47.219134,106.00,10000000
3,10,17,39.704988,47.235277,110.00,8900000
2,5,9,39.622926,47.213338,48.00,2650000
2,6,9,39.81805,47.237755,58.00,3250000
3,5,10,39.758913,47.22482,82.00,6300000
2,5,12,39.717968,47.234892,46.00,4000000
2,9,18,39.696615,47.223394,75.00,7500000
1,4,7,39.765148,47.231465,70.00,5800000
3,9,16,39.621319,47.215713,88.00,4500000
1,19,20,39.691917,47.225303,42.00,4499000
1,8,17,39.595636,47.232817,38.00,2230000
1,5,5,39.812615,47.238569,32.00,1650000
2,12,22,39.759776,47.237155,65.00,4100000
2,21,28,39.623142,47.194433,54.00,2700000
